percentage_child,percentage_child
percentage_adult,percentage_adult
percentage_female,percentage_female
imp_mortality_ratio,imp_mortality_ratio
slave_deaths_between_arrival_and_sale,slave_deaths_between_arrival_and_sale
child_ratio_among_embarked_slaves,child_ratio_among_embarked_slaves
child_ratio_among_landed_slaves,child_ratio_among_landed_slaves
male_ratio_among_embarked_slaves,male_ratio_among_embarked_slaves
male_ratio_among_landed_slaves,male_ratio_among_landed_slaves
percentage_boys_among_embarked_slaves,percentage_boys_among_embarked_slaves
percentage_boys_among_landed_slaves,percentage_boys_among_landed_slaves
percentage_girls_among_embarked_slaves,percentage_girls_among_embarked_slaves
percentage_girls_among_landed_slaves,percentage_girls_among_landed_slaves
percentage_men_among_embarked_slaves,percentage_men_among_embarked_slaves
percentage_men_among_landed_slaves,percentage_men_among_landed_slaves
percentage_women_among_embarked_slaves,percentage_women_among_embarked_slaves
percentage_women_among_landed_slaves,percentage_women_among_landed_slaves
total_slaves_by_age_gender_identified_among_landed,total_slaves_by_age_gender_identified_among_landed
total_slaves_by_age_gender_identified_departure_or_arrival,total_slaves_by_age_gender_identified_departure_or_arrival
total_slaves_embarked_age_gender_identified,total_slaves_embarked_age_gender_identified

voyages_staging.voyage_voyagecrew,voyages.voyage_voyagecrew
id,id
crew_voyage_outset,crew_voyage_outset
crew_departure_last_port,crew_departure_last_port
crew_first_landing,crew_first_landing
crew_return_begin,crew_return_begin
crew_end_voyage,crew_end_voyage
unspecified_crew,unspecified_crew
crew_died_before_first_trade,crew_died_before_first_trade
crew_died_while_ship_african,crew_died_while_ship_african
crew_died_middle_passage,crew_died_middle_passage
crew_died_in_americas,crew_died_in_americas
crew_died_on_return_voyage,crew_died_on_return_voyage
crew_died_complete_voyage,crew_died_complete_voyage
crew_deserted,crew_deserted

voyages_staging.voyage_voyagegroupings,voyages.voyage_voyagegroupings
label,label
value,value

voyages_staging.voyage_voyage,voyages.voyage_Voyage
id,id
voyage_id,voyage_id
voyage_in_cd_rom,voyage_in_cd_rom
voyage_groupings_id,voyage_groupings_id
voyage_crew_id,voyage_crew_id
voyage_slaves_numbers_id,voyage_slaves_numbers_id

voyages_staging.voyage_voyagecaptain,voyages.voyage_voyagecaptain
id,id
name,name

voyages_staging.voyage_voyagecaptainconnection,voyages.voyage_voyagecaptainconnection
id,id
captain_order,captain_order
captain_id,captain_id
voyage_id,voyage_id

voyages_staging.voyage_voyagesourcestype,voyages.voyage_voyagesourcestype
id,id
group_id,group_id
group_name,group_name

voyages_staging.voyage_voyagesources,voyages.voyage_voyagesources
id,id
short_ref,short_ref
full_ref,full_ref
source_type_id,source_type_id

voyages_staging.voyage_voyagesourcesconnection,voyages.voyage_voyagesourcesconnection
id,id
source_id,source_id
group_id,group_id
source_order,source_order
text_ref,text_ref

voyages_staging.voyage_nationality,voyages.voyage_nationality
id,id
label,label
value,value

voyages_staging.voyage_voyageshipowner,voyages.voyage_voyageshipowner
id,id
name,name

voyages_staging.voyage_voyageshipownerconnection,voyages.voyage_voyageshipownerconnection
id,id
owner_order,owner_order
owner_id,owner_id
voyage_id,voyage_id

voyages_staging.voyage_broadregion,voyages.voyage_broadregion
id,id
broad_region,broad_region
longitude,longitude
latitude,latitude
value,value
show_on_map,show_on_map
